t,#,x,y,road,speed,turn,
1,1,0.000000,278.180000,15,7.000000,0,
2,1,0.000000,274.680000,15,7.000000,0,
3,1,0.000000,271.180000,15,10.500000,0,
4,1,0.000000,265.930000,15,13.888889,0,
5,1,0.000000,258.985556,15,13.888889,0,
6,1,0.000000,252.041111,15,13.888889,0,
7,1,0.000000,245.096667,15,13.888889,0,
8,1,0.000000,238.152222,15,13.888889,0,
9,1,0.000000,231.207778,15,13.888889,0,
10,1,0.000000,224.263333,15,13.888889,0,
11,1,0.000000,217.318889,15,13.888889,0,
12,1,0.000000,210.374444,15,13.888889,0,
13,1,0.000000,203.430000,15,13.888889,0,
14,1,0.000000,196.485556,15,13.888889,0,
15,1,0.000000,189.541111,15,13.888889,0,
16,1,0.000000,182.596667,15,13.888889,0,
17,1,0.000000,170.970000,15,13.888889,1,
18,1,0.000000,170.970000,4,5.600389,0,
19,1,2.800194,170.970000,4,13.888889,0,
20,1,9.744639,170.970000,4,13.888889,0,
21,1,16.689083,170.970000,4,13.888889,0,
22,1,23.633528,170.970000,4,13.888889,0,
23,1,30.577972,170.970000,4,13.888889,0,
24,1,37.522417,170.970000,4,13.888889,0,
25,1,44.466861,170.970000,4,13.888889,0,
26,1,51.411306,170.970000,4,13.888889,0,
27,1,58.355750,170.970000,4,13.888889,0,
28,1,65.300194,170.970000,4,13.888889,0,
29,1,72.244639,170.970000,4,13.888889,0,
30,1,79.189083,170.970000,4,13.888889,0,
31,1,86.133528,170.970000,4,13.888889,0,
32,1,93.077972,170.970000,4,13.888889,0,
33,1,100.022417,170.970000,4,13.888889,0,
34,1,106.966861,170.970000,4,13.888889,0,
35,1,113.911306,170.970000,4,13.888889,0,
36,1,120.855750,170.970000,4,13.888889,0,
37,1,127.800194,170.970000,4,13.888889,0,
38,1,134.744639,170.970000,4,13.888889,0,
39,1,151.170000,170.970000,4,13.888889,1,
40,1,151.170000,170.970000,19,13.888889,0,
41,1,151.170000,164.025556,19,13.888889,0,
1,2,0.000000,248.660000,15,7.000000,0,
2,2,0.000000,245.160000,15,7.000000,0,
3,2,0.000000,241.660000,15,10.500000,0,
4,2,0.000000,236.410000,15,13.888889,0,
5,2,0.000000,229.465556,15,13.888889,0,
6,2,0.000000,222.521111,15,13.888889,0,
7,2,0.000000,215.576667,15,13.888889,0,
8,2,0.000000,208.632222,15,13.888889,0,
9,2,0.000000,201.687778,15,13.888889,0,
10,2,0.000000,194.743333,15,13.888889,0,
11,2,0.000000,187.798889,15,13.888889,0,
12,2,0.000000,170.970000,15,13.888889,1,
13,2,0.000000,170.970000,4,5.600389,0,
14,2,2.800194,170.970000,4,13.888889,0,
15,2,9.744639,170.970000,4,13.888889,0,
16,2,16.689083,170.970000,4,13.888889,0,
17,2,23.633528,170.970000,4,13.888889,0,
18,2,30.577972,170.970000,4,13.888889,0,
19,2,37.522417,170.970000,4,13.888889,0,
20,2,44.466861,170.970000,4,13.888889,0,
21,2,51.411306,170.970000,4,13.888889,0,
22,2,58.355750,170.970000,4,13.888889,0,
23,2,65.300194,170.970000,4,13.888889,0,
24,2,72.244639,170.970000,4,13.888889,0,
25,2,79.189083,170.970000,4,13.888889,0,
26,2,86.133528,170.970000,4,13.888889,0,
27,2,93.077972,170.970000,4,13.888889,0,
28,2,100.022417,170.970000,4,13.888889,0,
29,2,106.966861,170.970000,4,13.888889,0,
30,2,113.911306,170.970000,4,13.888889,0,
31,2,120.855750,170.970000,4,13.888889,0,
32,2,127.800194,170.970000,4,13.888889,0,
33,2,134.744639,170.970000,4,13.888889,0,
34,2,151.170000,170.970000,4,13.888889,1,
35,2,151.170000,170.970000,5,13.888889,0,
36,2,158.114444,170.970000,5,13.888889,0,
37,2,165.058889,170.970000,5,13.888889,0,
38,2,172.003333,170.970000,5,13.888889,0,
39,2,178.947778,170.970000,5,13.888889,0,
40,2,185.892222,170.970000,5,13.888889,0,
41,2,192.836667,170.970000,5,13.888889,0,
1,3,0.000000,199.640000,16,7.000000,0,
2,3,0.000000,203.140000,16,7.000000,0,
3,3,0.000000,206.640000,16,10.500000,0,
4,3,0.000000,211.890000,16,13.888889,0,
5,3,0.000000,218.834444,16,13.888889,0,
6,3,0.000000,225.778889,16,13.888889,0,
7,3,0.000000,232.723333,16,13.888889,0,
8,3,0.000000,239.667778,16,13.888889,0,
9,3,0.000000,246.612222,16,13.888889,0,
10,3,0.000000,253.556667,16,13.888889,0,
11,3,0.000000,260.501111,16,13.888889,0,
12,3,0.000000,267.445556,16,13.888889,0,
13,3,0.000000,274.390000,16,13.888889,0,
14,3,0.000000,281.334444,16,13.888889,0,
15,3,0.000000,295.190000,16,13.888889,1,
16,3,0.000000,295.190000,15,2.081017,0,
17,3,0.000000,295.190000,15,2.081017,0,
18,3,0.000000,295.190000,15,2.081017,0,
19,3,0.000000,294.149491,15,12.581017,0,
20,3,0.000000,287.858983,15,13.888889,0,
21,3,0.000000,280.914538,15,13.888889,0,
22,3,0.000000,273.970094,15,13.888889,0,
23,3,0.000000,267.025649,15,13.888889,0,
24,3,0.000000,260.081205,15,13.888889,0,
25,3,0.000000,253.136760,15,13.888889,0,
26,3,0.000000,246.192316,15,13.888889,0,
27,3,0.000000,239.247872,15,13.888889,0,
28,3,0.000000,232.303427,15,13.888889,0,
29,3,0.000000,225.358983,15,13.888889,0,
30,3,0.000000,218.414538,15,13.888889,0,
31,3,0.000000,211.470094,15,13.888889,0,
32,3,0.000000,204.525649,15,13.888889,0,
33,3,0.000000,197.581205,15,13.888889,0,
34,3,0.000000,190.636760,15,13.888889,0,
35,3,0.000000,183.692316,15,13.888889,0,
36,3,0.000000,170.970000,15,13.888889,1,
37,3,0.000000,170.970000,4,5.600389,0,
38,3,0.000000,170.970000,4,5.600389,0,
39,3,0.000000,170.970000,4,5.600389,0,
40,3,2.800194,170.970000,4,13.888889,0,
41,3,9.744639,170.970000,4,13.888889,0,
1,4,0.000000,34.760000,27,7.000000,0,
2,4,0.000000,38.260000,27,7.000000,0,
3,4,0.000000,41.760000,27,10.500000,0,
4,4,0.000000,47.010000,27,13.888889,0,
5,4,0.000000,53.954444,27,13.888889,0,
6,4,0.000000,60.898889,27,13.888889,0,
7,4,0.000000,67.843333,27,13.888889,0,
8,4,0.000000,74.787778,27,13.888889,0,
9,4,0.000000,81.732222,27,13.888889,0,
10,4,0.000000,88.676667,27,13.888889,0,
