t,#,x,y,road,speed,turn,
1,1,0.000000,278.180000,15,7.000000,0,
2,1,0.000000,274.680000,15,7.000000,0,
3,1,0.000000,271.180000,15,10.500000,0,
4,1,0.000000,265.930000,15,13.888889,0,
5,1,0.000000,258.985556,15,13.888889,0,
6,1,0.000000,252.041111,15,13.888889,0,
7,1,0.000000,245.096667,15,13.888889,0,
8,1,0.000000,238.152222,15,13.888889,0,
9,1,0.000000,231.207778,15,13.888889,0,
10,1,0.000000,224.263333,15,13.888889,1,
11,1,0.000000,224.263333,16,13.888889,0,
12,1,0.000000,224.263333,16,13.888889,0,
13,1,0.000000,224.263333,16,13.888889,0,
14,1,0.000000,224.263333,16,13.888889,0,
15,1,0.000000,224.263333,16,13.888889,0,
16,1,0.000000,224.263333,16,13.888889,0,
17,1,0.000000,224.263333,16,13.888889,0,
18,1,0.000000,224.263333,16,13.888889,0,
19,1,0.000000,224.263333,16,13.888889,0,
20,1,0.000000,224.263333,16,13.888889,0,
21,1,0.000000,217.318889,16,13.888889,0,
1,2,0.000000,248.660000,15,7.000000,0,
2,2,0.000000,245.160000,15,7.000000,0,
3,2,0.000000,241.660000,15,10.500000,0,
4,2,0.000000,236.410000,15,13.888889,0,
5,2,0.000000,229.465556,15,13.888889,1,
6,2,0.000000,229.465556,2,13.888889,0,
7,2,0.000000,224.140000,2,13.888889,1,
8,2,0.000000,224.140000,2,13.888889,0,
9,2,0.000000,224.140000,2,13.888889,0,
10,2,0.000000,224.140000,2,13.888889,0,
11,2,0.000000,224.140000,2,13.888889,0,
12,2,0.000000,224.140000,2,13.888889,0,
13,2,0.000000,224.140000,2,13.888889,0,
14,2,0.000000,224.140000,2,13.888889,0,
15,2,0.000000,224.140000,2,13.888889,0,
16,2,0.000000,224.140000,2,13.888889,0,
17,2,0.000000,224.140000,2,13.888889,0,
18,2,0.000000,224.140000,2,13.888889,1,
19,2,0.000000,224.140000,2,13.888889,0,
20,2,0.000000,224.140000,2,13.888889,0,
21,2,0.000000,224.140000,2,13.888889,0,
1,3,0.000000,199.640000,16,7.000000,0,
2,3,0.000000,203.140000,16,7.000000,0,
3,3,0.000000,206.640000,16,10.500000,0,
4,3,0.000000,211.890000,16,13.888889,0,
5,3,0.000000,218.834444,16,13.888889,1,
6,3,0.000000,218.834444,16,13.888889,0,
7,3,0.000000,218.834444,16,13.888889,0,
8,3,0.000000,218.834444,16,13.888889,0,
9,3,0.000000,211.890000,16,13.888889,0,
10,3,0.000000,204.945556,16,13.888889,0,
11,3,0.000000,198.001111,16,13.888889,0,
12,3,0.000000,191.056667,16,13.888889,0,
13,3,0.000000,184.112222,16,13.888889,0,
14,3,0.000000,177.167778,16,13.888889,0,
15,3,0.000000,170.223333,16,13.888889,0,
16,3,0.000000,163.278889,16,13.888889,0,
17,3,0.000000,156.334444,16,13.888889,0,
18,3,0.000000,149.390000,16,13.888889,0,
19,3,0.000000,142.445556,16,13.888889,0,
20,3,0.000000,135.501111,16,13.888889,0,
21,3,0.000000,128.556667,16,13.888889,0,
1,4,0.000000,34.760000,27,7.000000,0,
2,4,0.000000,38.260000,27,7.000000,0,
3,4,0.000000,41.760000,27,10.500000,0,
4,4,0.000000,47.010000,27,13.888889,0,
5,4,0.000000,53.954444,27,13.888889,0,
6,4,0.000000,60.898889,27,13.888889,0,
7,4,0.000000,67.843333,27,13.888889,0,
8,4,0.000000,74.787778,27,13.888889,0,
9,4,0.000000,81.732222,27,13.888889,0,
10,4,0.000000,88.676667,27,13.888889,0,
11,4,0.000000,95.621111,27,13.888889,0,
12,4,0.000000,102.565556,27,13.888889,0,
13,4,0.000000,109.510000,27,13.888889,0,
14,4,0.000000,116.454444,27,13.888889,0,
15,4,0.000000,123.398889,27,13.888889,0,
16,4,0.000000,130.343333,27,13.888889,0,
17,4,0.000000,137.287778,27,13.888889,0,
18,4,0.000000,144.232222,27,13.888889,0,
19,4,0.000000,151.176667,27,13.888889,0,
20,4,0.000000,158.121111,27,13.888889,0,
21,4,0.000000,165.065556,27,13.888889,0,
1,5,21.720000,295.590000,1,7.000000,0,
2,5,18.220000,295.590000,1,7.000000,0,
3,5,14.720000,295.590000,1,10.500000,0,
4,5,9.470000,295.590000,1,13.888889,0,
5,5,2.525556,295.590000,1,13.888889,1,
6,5,2.525556,295.590000,15,13.888889,0,
7,5,2.525556,295.590000,15,13.888889,0,
8,5,2.525556,295.590000,15,13.888889,0,
9,5,2.525556,295.590000,15,13.888889,0,
10,5,2.525556,295.590000,15,13.888889,0,
11,5,2.525556,295.590000,15,13.888889,0,
12,5,2.525556,295.590000,15,13.888889,0,
13,5,2.525556,295.590000,15,13.888889,0,
14,5,2.525556,295.590000,15,13.888889,0,
15,5,2.525556,295.590000,15,13.888889,0,
16,5,0.000000,295.190000,15,13.888889,1,
17,5,0.000000,295.190000,15,13.888889,0,
18,5,0.000000,295.190000,15,13.888889,1,
19,5,0.000000,295.190000,15,13.888889,0,
20,5,0.000000,295.190000,15,13.888889,1,
21,5,0.000000,295.190000,15,13.888889,0,
1,6,190.500000,295.590000,0,7.000000,0,
2,6,187.000000,295.590000,0,7.000000,0,
3,6,183.500000,295.590000,0,10.500000,0,
4,6,178.250000,295.590000,0,13.888889,0,
5,6,171.305556,295.590000,0,13.888889,0,
6,6,164.361111,295.590000,0,13.888889,0,
7,6,157.416667,295.590000,0,13.888889,1,
8,6,157.416667,295.590000,17,13.888889,0,
9,6,157.416667,295.590000,17,13.888889,0,
10,6,157.416667,295.590000,17,13.888889,0,
11,6,157.416667,295.590000,17,13.888889,0,
12,6,157.416667,295.590000,17,13.888889,0,
13,6,157.416667,295.590000,17,13.888889,0,
14,6,157.416667,295.590000,17,13.888889,0,
15,6,157.416667,295.590000,17,13.888889,0,
16,6,157.416667,295.590000,17,13.888889,0,
17,6,157.416667,295.590000,17,13.888889,0,
18,6,157.416667,288.645556,17,13.888889,0,
19,6,157.416667,281.701111,17,13.888889,0,
20,6,157.416667,274.756667,17,13.888889,0,
21,6,157.416667,267.812222,17,13.888889,0,
1,7,240.070000,104.430000,9,7.000000,0,
2,7,243.570000,104.430000,9,7.000000,0,
3,7,247.070000,104.430000,9,10.500000,0,
4,7,252.320000,104.430000,9,13.888889,0,
5,7,259.264444,104.430000,9,13.888889,0,
6,7,266.208889,104.430000,9,13.888889,0,
7,7,273.153333,104.430000,9,13.888889,0,
