1号车: x=0.000000, y=278.180000, on road number15, speed=7.000000
1号车: x=0.000000, y=274.680000, on road number15, speed=7.000000
1号车: x=0.000000, y=271.180000, on road number15, speed=10.500000
1号车: x=0.000000, y=265.930000, on road number15, speed=13.888889
1号车: x=0.000000, y=258.985556, on road number15, speed=13.888889
1号车: x=0.000000, y=252.041111, on road number15, speed=13.888889
1号车: x=0.000000, y=245.096667, on road number15, speed=13.888889
1号车: x=0.000000, y=238.152222, on road number15, speed=13.888889
1号车: x=0.000000, y=231.207778, on road number15, speed=13.888889
1号车: x=0.000000, y=224.263333, on road number15, speed=13.888889
1号车: x=0.000000, y=217.318889, on road number15, speed=13.888889
1号车: x=0.000000, y=210.374444, on road number15, speed=13.888889
1号车: x=0.000000, y=203.430000, on road number15, speed=13.888889
1号车: x=0.000000, y=196.485556, on road number15, speed=13.888889
1号车: x=0.000000, y=189.541111, on road number15, speed=13.888889
1号车: x=0.000000, y=182.596667, on road number15, speed=13.888889
1号车: x=0.000000, y=175.652222, on road number15, speed=13.888889
1号车: x=0.000000, y=168.707778, on road number15, speed=13.888889
1号车: x=0.000000, y=161.763333, on road number15, speed=13.888889
1号车: x=0.000000, y=154.818889, on road number15, speed=13.888889
1号车: x=0.000000, y=147.874444, on road number15, speed=13.888889

2号车: x=0.000000, y=248.660000, on road number15, speed=7.000000
2号车: x=0.000000, y=245.160000, on road number15, speed=7.000000
2号车: x=0.000000, y=241.660000, on road number15, speed=10.500000
2号车: x=0.000000, y=236.410000, on road number15, speed=13.888889
2号车: x=0.000000, y=229.465556, on road number15, speed=13.888889
2号车: x=0.000000, y=222.521111, on road number15, speed=13.888889
2号车: x=0.000000, y=215.576667, on road number15, speed=13.888889
2号车: x=0.000000, y=208.632222, on road number15, speed=13.888889
2号车: x=0.000000, y=201.687778, on road number15, speed=13.888889
2号车: x=0.000000, y=194.743333, on road number15, speed=13.888889
2号车: x=0.000000, y=187.798889, on road number15, speed=13.888889
2号车: x=0.000000, y=180.854444, on road number15, speed=13.888889
2号车: x=0.000000, y=173.910000, on road number15, speed=13.888889
2号车: x=0.000000, y=166.965556, on road number15, speed=13.888889
2号车: x=0.000000, y=160.021111, on road number15, speed=13.888889
2号车: x=0.000000, y=153.076667, on road number15, speed=13.888889
2号车: x=0.000000, y=146.132222, on road number15, speed=13.888889
2号车: x=0.000000, y=139.187778, on road number15, speed=13.888889
2号车: x=0.000000, y=132.243333, on road number15, speed=13.888889
2号车: x=0.000000, y=125.298889, on road number15, speed=13.888889
2号车: x=0.000000, y=118.354444, on road number15, speed=13.888889

