t,#,x,y,road,speed,turn,
1,1,0.000000,278.180000,15,7.000000,0,
2,1,0.000000,274.680000,15,7.000000,0,
3,1,0.000000,271.180000,15,10.500000,0,
4,1,0.000000,265.930000,15,13.888889,0,
5,1,0.000000,258.985556,15,13.888889,0,
6,1,0.000000,252.041111,15,13.888889,0,
7,1,0.000000,245.096667,15,13.888889,0,
8,1,0.000000,238.152222,15,13.888889,0,
9,1,0.000000,231.207778,15,13.888889,0,
10,1,0.000000,224.140000,15,13.888889,1,
11,1,0.000000,224.140000,16,10.393698,0,
12,1,0.000000,218.943151,16,13.888889,0,
13,1,0.000000,211.998707,16,13.888889,0,
14,1,0.000000,205.054262,16,13.888889,0,
15,1,0.000000,198.109818,16,13.888889,0,
16,1,0.000000,191.165373,16,13.888889,0,
17,1,0.000000,184.220929,16,13.888889,0,
18,1,0.000000,177.276484,16,13.888889,0,
19,1,0.000000,170.332040,16,13.888889,0,
20,1,0.000000,163.387596,16,13.888889,0,
21,1,0.000000,156.443151,16,13.888889,0,
22,1,0.000000,149.498707,16,13.888889,0,
23,1,0.000000,142.554262,16,13.888889,0,
24,1,0.000000,135.609818,16,13.888889,0,
25,1,0.000000,128.665373,16,13.888889,0,
26,1,0.000000,121.720929,16,13.888889,0,
27,1,0.000000,107.430000,16,13.888889,1,
28,1,0.000000,107.430000,8,5.576431,0,
29,1,2.788215,107.430000,8,13.888889,0,
30,1,9.732660,107.430000,8,13.888889,0,
31,1,16.677104,107.430000,8,13.888889,0,
32,1,23.621549,107.430000,8,13.888889,0,
33,1,30.565993,107.430000,8,13.888889,0,
34,1,37.510438,107.430000,8,13.888889,0,
35,1,44.454882,107.430000,8,13.888889,0,
36,1,51.399327,107.430000,8,13.888889,0,
37,1,58.343771,107.430000,8,13.888889,0,
38,1,65.288215,107.430000,8,13.888889,0,
39,1,72.232660,107.430000,8,13.888889,0,
40,1,79.177104,107.430000,8,13.888889,0,
41,1,86.121549,107.430000,8,13.888889,0,
42,1,93.065993,107.430000,8,13.888889,0,
43,1,100.010438,107.430000,8,13.888889,0,
44,1,106.954882,107.430000,8,13.888889,0,
45,1,113.899327,107.430000,8,13.888889,0,
46,1,120.843771,107.430000,8,13.888889,0,
47,1,127.788215,107.430000,8,13.888889,0,
48,1,134.732660,107.430000,8,13.888889,0,
49,1,141.677104,107.430000,8,13.888889,0,
50,1,148.621549,107.430000,8,13.888889,0,
51,1,155.565993,107.430000,8,13.888889,0,
52,1,162.510438,107.430000,8,13.888889,0,
53,1,169.454882,107.430000,8,13.888889,0,
54,1,176.399327,107.430000,8,13.888889,0,
55,1,183.343771,107.430000,8,13.888889,0,
56,1,190.288215,107.430000,8,13.888889,0,
57,1,197.232660,107.430000,8,13.888889,0,
58,1,204.177104,107.430000,8,13.888889,0,
59,1,211.121549,107.430000,8,13.888889,0,
60,1,218.065993,107.430000,8,13.888889,0,
61,1,225.010438,107.430000,8,13.888889,0,
1,2,0.000000,248.660000,15,7.000000,0,
2,2,0.000000,245.160000,15,7.000000,0,
3,2,0.000000,241.660000,15,10.500000,0,
4,2,0.000000,236.410000,15,13.888889,0,
5,2,0.000000,224.140000,15,13.888889,1,
6,2,0.000000,224.140000,16,10.393698,0,
7,2,0.000000,218.943151,16,13.888889,0,
8,2,0.000000,211.998707,16,13.888889,0,
9,2,0.000000,205.054262,16,13.888889,0,
10,2,0.000000,198.109818,16,13.888889,0,
11,2,0.000000,191.165373,16,13.888889,0,
12,2,0.000000,184.220929,16,13.888889,0,
13,2,0.000000,177.276484,16,13.888889,0,
14,2,0.000000,170.332040,16,13.888889,0,
15,2,0.000000,163.387596,16,13.888889,0,
16,2,0.000000,156.443151,16,13.888889,0,
17,2,0.000000,149.498707,16,13.888889,0,
18,2,0.000000,142.554262,16,13.888889,0,
19,2,0.000000,135.609818,16,13.888889,0,
20,2,0.000000,128.665373,16,13.888889,0,
21,2,0.000000,121.720929,16,13.888889,0,
22,2,0.000000,107.430000,16,13.888889,1,
23,2,0.000000,107.430000,8,5.576431,0,
24,2,2.788215,107.430000,8,13.888889,0,
25,2,9.732660,107.430000,8,13.888889,0,
26,2,16.677104,107.430000,8,13.888889,0,
27,2,23.621549,107.430000,8,13.888889,0,
28,2,30.565993,107.430000,8,13.888889,0,
29,2,37.510438,107.430000,8,13.888889,0,
30,2,44.454882,107.430000,8,13.888889,0,
31,2,51.399327,107.430000,8,13.888889,0,
32,2,58.343771,107.430000,8,13.888889,0,
33,2,65.288215,107.430000,8,13.888889,0,
34,2,72.232660,107.430000,8,13.888889,0,
35,2,79.177104,107.430000,8,13.888889,0,
36,2,86.121549,107.430000,8,13.888889,0,
37,2,93.065993,107.430000,8,13.888889,0,
38,2,100.010438,107.430000,8,13.888889,0,
39,2,106.954882,107.430000,8,13.888889,0,
40,2,113.899327,107.430000,8,13.888889,0,
41,2,120.843771,107.430000,8,13.888889,0,
42,2,127.788215,107.430000,8,13.888889,0,
43,2,134.732660,107.430000,8,13.888889,0,
44,2,151.170000,107.430000,8,13.888889,1,
45,2,151.170000,107.430000,9,13.888889,0,
46,2,158.114444,107.430000,9,13.888889,0,
47,2,165.058889,107.430000,9,13.888889,0,
48,2,172.003333,107.430000,9,13.888889,0,
49,2,178.947778,107.430000,9,13.888889,0,
50,2,185.892222,107.430000,9,13.888889,0,
51,2,192.836667,107.430000,9,13.888889,0,
52,2,199.781111,107.430000,9,13.888889,0,
53,2,206.725556,107.430000,9,13.888889,0,
54,2,213.670000,107.430000,9,13.888889,0,
55,2,220.614444,107.430000,9,13.888889,0,
56,2,227.558889,107.430000,9,13.888889,0,
57,2,234.503333,107.430000,9,13.888889,0,
58,2,241.447778,107.430000,9,13.888889,0,
59,2,248.392222,107.430000,9,13.888889,0,
60,2,255.336667,107.430000,9,13.888889,0,
61,2,262.281111,107.430000,9,13.888889,0,
1,3,0.000000,199.640000,16,7.000000,0,
2,3,0.000000,203.140000,16,7.000000,0,
3,3,0.000000,206.640000,16,10.500000,0,
4,3,0.000000,211.890000,16,13.888889,0,
5,3,0.000000,224.140000,16,13.888889,1,
6,3,0.000000,224.140000,2,5.556656,0,
7,3,0.000000,224.140000,2,5.556656,0,
8,3,0.000000,224.140000,2,5.556656,0,
9,3,0.000000,224.140000,2,5.556656,0,
10,3,0.000000,224.140000,2,5.556656,0,
11,3,0.000000,224.140000,2,5.556656,0,
